STATION_FROM,STATION_TO,DISTANCE
84,3,4.1301000000000005
3,85,3.8525
85,3,3.8525
3,86,2.2905
86,3,2.2905
3,87,1.3482
87,3,1.3482
3,88,0.9617
88,3,0.9617
3,89,4.5975
89,3,4.5975
3,90,4.0638000000000005
90,3,4.0638000000000005
3,91,4.4903
91,3,4.4903
3,92,2.19
92,3,2.19
3,93,2.5645
93,3,2.5645
3,94,2.4924
94,3,2.4924
3,95,2.6399
95,3,2.6399
3,96,3.2497
96,3,3.2497
3,97,3.5288000000000004
97,3,3.5288000000000004
3,98,3.7556
98,3,3.7556
3,99,3.1355999999999997
99,3,3.1355999999999997
3,100,2.0915
100,3,2.0915
3,101,0.279
101,3,0.279
3,102,0.5746
102,3,0.5746
3,103,1.7646
103,3,1.7646
3,104,1.8232000000000002
104,3,1.8232000000000002
3,105,2.5203
105,3,2.5203
3,106,2.1712
106,3,2.1712
3,107,2.2445
107,3,2.2445
3,108,1.5419
108,3,1.5419
3,109,2.58
109,3,2.58
3,110,1.124
110,3,1.124
3,111,1.6167
111,3,1.6167
3,112,1.7975
112,3,1.7975
3,113,4.122
113,3,4.122
3,114,4.199199999999999
114,3,4.199199999999999
3,115,2.2887
115,3,2.2887
3,116,0.8205
116,3,0.8205
3,117,4.2107
117,3,4.2107
4,5,3.017
5,4,3.017
4,6,1.1404
6,4,1.1404
4,7,0.7814
7,4,0.7814
4,8,2.3549
8,4,2.3549
4,9,1.921
9,4,1.921
4,10,1.2470999999999999
10,4,1.2470999999999999
4,11,3.5724
11,4,3.5724
4,12,1.7567000000000002
12,4,1.7567000000000002
4,13,3.321
13,4,3.321
4,14,1.7771
14,4,1.7771
4,15,1.9128
15,4,1.9128
4,16,2.4132
16,4,2.4132
4,17,1.5533
17,4,1.5533
4,18,2.3898
18,4,2.3898
4,19,4.1661
19,4,4.1661
4,20,3.4162
20,4,3.4162
4,21,3.6506999999999996
21,4,3.6506999999999996
4,22,2.9998
22,4,2.9998
4,23,1.9105
23,4,1.9105
4,24,2.9236999999999997
24,4,2.9236999999999997
4,25,3.6917
25,4,3.6917
4,26,3.1858
26,4,3.1858
4,27,3.2805999999999997
27,4,3.2805999999999997
4,28,2.2432
28,4,2.2432
4,29,0.983
29,4,0.983
4,30,1.589
30,4,1.589
4,31,1.11
31,4,1.11
4,32,3.0495
32,4,3.0495
4,33,1.779
33,4,1.779
4,34,3.702
34,4,3.702
4,35,0.5004
35,4,0.5004
4,36,2.7463
36,4,2.7463
4,37,2.2253000000000003
37,4,2.2253000000000003
4,38,2.6434
38,4,2.6434
4,39,3.448
39,4,3.448
4,40,1.3729
40,4,1.3729
4,41,3.0433000000000003
41,4,3.0433000000000003
4,42,0.6829
42,4,0.6829
4,43,2.6611
43,4,2.6611
4,44,1.9726
44,4,1.9726
4,45,2.8444000000000003
45,4,2.8444000000000003
4,47,3.6635999999999997
47,4,3.6635999999999997
4,48,2.6087
48,4,2.6087
4,49,2.8454
49,4,2.8454
4,50,0.8202999999999999
50,4,0.8202999999999999
4,51,1.836
51,4,1.836
4,52,2.3286
52,4,2.3286
4,53,2.3286
53,4,2.3286
4,54,2.8238000000000003
54,4,2.8238000000000003
4,55,2.7334
55,4,2.7334
4,56,4.0213
56,4,4.0213
4,57,3.862
57,4,3.862
4,58,3.8306999999999998
58,4,3.8306999999999998
4,59,1.9364000000000001
59,4,1.9364000000000001
4,60,1.8302
60,4,1.8302
4,61,1.7164000000000001
61,4,1.7164000000000001
4,62,2.9995
62,4,2.9995
4,63,3.3507
63,4,3.3507
4,64,2.8986
64,4,2.8986
4,65,2.993
65,4,2.993
4,66,3.2466999999999997
66,4,3.2466999999999997
4,67,3.5071999999999997
67,4,3.5071999999999997
4,68,3.4606
68,4,3.4606
4,69,3.5645
69,4,3.5645
4,71,1.8355
71,4,1.8355
4,72,0.9943
72,4,0.9943
4,73,1.0291
73,4,1.0291
4,74,0.9567
74,4,0.9567
4,75,1.6683
75,4,1.6683
4,76,1.8939000000000001
76,4,1.8939000000000001
4,77,1.2672999999999999
77,4,1.2672999999999999
4,78,2.0097
78,4,2.0097
4,79,1.5943
79,4,1.5943
4,80,2.2463
80,4,2.2463
4,82,2.3590999999999998
82,4,2.3590999999999998
4,83,3.1127
83,4,3.1127
4,84,3.7708000000000004
84,4,3.7708000000000004
4,85,3.4931
85,4,3.4931
4,86,1.9310999999999998
86,4,1.9310999999999998
4,87,1.4505
87,4,1.4505
4,88,1.0415
88,4,1.0415
4,89,3.716
89,4,3.716
4,90,3.6714
90,4,3.6714
4,91,4.097899999999999
91,4,4.097899999999999
4,92,1.8306
92,4,1.8306
4,93,2.2051999999999996
93,4,2.2051999999999996
4,94,2.1330999999999998
94,4,2.1330999999999998
4,95,2.2805
95,4,2.2805
4,96,2.8904
96,4,2.8904
4,97,3.1694
97,4,3.1694
4,98,3.3962
98,4,3.3962
4,99,2.7796
99,4,2.7796
4,100,1.7321
100,4,1.7321
4,101,0.3722
101,4,0.3722
4,102,1.2259
102,4,1.2259
4,103,1.8444
103,4,1.8444
4,104,1.9031
104,4,1.9031
4,105,2.6385
105,4,2.6385
4,106,2.2893000000000003
106,4,2.2893000000000003
4,107,2.3627
107,4,2.3627
4,108,1.6601
108,4,1.6601
4,109,3.2312
109,4,3.2312
4,110,1.2421
110,4,1.2421
4,111,2.268
111,4,2.268
4,112,2.4488000000000003
112,4,2.4488000000000003
4,113,3.4427
113,4,3.4427
4,114,3.8398000000000003
114,4,3.8398000000000003
4,115,2.94
115,4,2.94
4,116,1.4717
116,4,1.4717
4,117,3.8183000000000002
